ID,Glottocode,Language,Family,Consonants,WALS_size,Has_fricatives,F/C Ratio,Fricatives,n_fricatives,n_places,β,ɸ,v,f,θ,ð,s,z,s̺,ʃ,ɹ̝,ɬ,ɕ,ʑ,ç,ʝ,ɮ,ʒ,ʂ,ʐ,x,ɣ,ʁ,h,Voice_stops,Voice_fricatives,Allo_fric,Latitude,Longitude,Source,Commentary
102,desa1247,Desano,Tukanoan,11,small,1,0.18,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"-10.70, -64.112",,silva_2012,"The phonological status of the glottal consonants h and ʔ is unclear, and the author proposes that these are autosegmental glottal elements rather than segmental elements."
103,tuca1252,Tucano,Tukanoan,10,small,1,0.2,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"-10.70, -64.113",,ramirez_1997,"The glottal h has a limited distribution, never appearing word-initially, and has a quality that is identical to that of flanking vowels."
104,seco1241,Secoya,Tukanoan,11,small,1,0.09,h,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"-10.70, -64.114",,vallejos_2013,"Both affricates t͡s and d͡ʒ have fricative realizations in many contexts and, in particular, in the speech of younger speakers."
105,tatu1247,Tatuyo,Tukanoan,11,small,1,0.18,s h,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"-10.70, -64.115",,bostrom_1998,"The fricative s is of reduced frequency and, according to Bostrom (1998), is in the process of being lost in the language (note that most s in other Tukanoan languages match Tatuyo h in cognate morphemes); Gómez-Imbert (1980), which gives the consonant as a palatal stop c, also notes its reduced frequency. The approximant w appears as [β] preceding a high front vowel."
106,poya1241,Poyanáwa,Panoan,14,small,1,0.28,β s ʃ h,4,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"-10.70, -64.116",,paula_1992,
107,chac1251,Chácobo,Panoan,16,moderately small,1,0.31,β s ʃ ʂ h,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,"-10.70, -64.117",,tallman_2018,The stop k may surface as ɣ between two vowels ɨ in casual speech.
108,kaxa1239,Kaxarari,Panoan,17,moderately small,1,0.29,β s ʃ ʂ h,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"-10.70, -64.118",,sousa_2004,
109,koru1247,Korubo,Panoan,14,small,1,0.28,β s ɬ ʃ,4,4,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"-10.70, -64.119",,oliveira_2009,
110,avac1239,Avá-Canoeiro,Tupian,12,small,1,0.08,ʁ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"-10.70, -64.120",,borges_2006,The affricate t͡ʃ has a fricative allophone ʃ and the approximant w may be realized as β and j has ʃ and ʒ as allophones as well.
111,maru1252,Marubo,Panoan,13,small,1,0.23,β s ʃ,3,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"-10.70, -64.121",,costa_2000,
112,chay1248,Shawi,Cahuapanan,12,small,1,0.16,s ʃ,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-10.70, -64.122",,rojas_berscia_2019,
113,jabe1250,Shiwilu,Cahuapanan,17,moderately small,1,0.11,s ʃ,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-10.70, -64.123",,valenzuela_gussenhoven_2013,
